Tweet_Id,Label,Target_Groups
1409930040817512449,Offensive,Individual
1409547353082580992,Offensive,Individual
1407438352849129473,Offensive,Individual
1409333219690913795,Offensive,"Individual,Political"
1402180767669653510,Offensive,Political
1389585100514332674,Offensive,Individual
1408699148023472129,Offensive,Political
1389475123233792002,Offensive,Individual
1408440000698408963,Offensive,Individual
1394722548189831169,Offensive,Individual
1407752002671579139,Offensive,Individual
1410518827989749761,Offensive,"Individual,Others"
1410518438758387715,Offensive,Individual
1410208359941242881,Offensive,Individual
1410117996522082311,Offensive,Individual
1410023099198627844,Offensive,Individual
1413188363029417987,Offensive,Individual
1413097448440942595,Offensive,Individual
1412472789986992133,Offensive,Political
1411762847504162818,Hate,Bangladeshi
1411674298285051905,Offensive,Individual
1411523938895626240,Offensive,Political
1410897586630782980,Offensive,Individual
1410519395374407680,Offensive,Individual
1407346401168736258,Offensive,Individual
1407313426431438853,Offensive,Individual
1407221933557518338,NonHate,Individual
1407045973059252231,Offensive,Others
1406879936015585280,Offensive,Others
1406306332701958144,NonHate,Others
1405712245959495686,Offensive,Individual
1405611744093896704,Offensive,Individual
1405481571537149953,Offensive,Others
1405219388341374977,Offensive,Individual
1404506236469407747,Offensive,Others
1404446059359703041,Offensive,Individual
1404422453820936192,Offensive,Political
1404157856396451842,Offensive,Individual
1404097542481072130,Offensive,Individual
1403792516198043648,Offensive,Individual
1403781870228185088,Offensive,Individual
1403603521828577284,Offensive,Individual
1403401513490292737,NonHate,Political
1403393309456797699,Offensive,Individual
1403378521548857347,Offensive,Individual
1403059587830349832,NonHate,Individual
1402699800034775041,Offensive,Others
1402560471006285827,Offensive,Individual
1402388577338609665,Offensive,Individual
1402224328280657921,Offensive,Individual
1401554238405185537,Offensive,Individual
1401534096493273090,Offensive,Individual
1401529195054845954,Offensive,Others
1401485471067246593,Offensive,Others
1401249654335959042,Offensive,Individual
1401183291965726733,Offensive,Individual
1400500333743206400,Offensive,Political
1400484544990511105,Offensive,Individual
1400449998752342031,Offensive,Individual
1400444565186744327,Offensive,Political
1400431563528032259,Offensive,Individual
1400391642033446912,Hate,Bengali
1400308613336363015,Offensive,Individual
1400213640540823562,Offensive,Individual
1400213410889879553,Offensive,Political
1400213113505415171,Offensive,Individual
1400048187419676673,Offensive,Individual
1400028696862285826,Hate,Hindu
1399694508883775497,Offensive,Individual
1399643329889931270,Offensive,Individual
1399379053350572034,Offensive,Individual
1399057096079859714,Offensive,Individual
1398923028076003333,Offensive,Individual
1398664670974783491,Offensive,Individual
1398372113409400836,Offensive,Individual
1398368607248080897,Offensive,Political
1398272686032261120,Offensive,Individual
1397829455326838784,Offensive,Individual
1397747531283533824,Offensive,Individual
1397366500323860481,Offensive,Individual
1396748677784293376,Offensive,Political
1396718840277393409,Offensive,Individual
1396533427835314182,Offensive,Individual
1396531991340748802,Offensive,Individual
1396498629360164870,Offensive,Individual
1396150879632302086,Offensive,Individual
1396108228384026624,NonHate,Others
1396089320939745284,Offensive,Individual
1396037693469982725,Offensive,Individual
1395985432844771328,Offensive,Individual
1395771189142835205,Offensive,Individual
1395752862018269186,Offensive,Individual
1395609234826436609,Offensive,Individual
1395431489274191873,Offensive,Political
1395344878502961155,Offensive,Individual
1395277755885842436,Offensive,Individual
1395206130322710531,Offensive,Individual
1395052995910389761,Offensive,Political
1395021923474571275,Offensive,Political
1394990462180728836,Offensive,Others
1394908347967627269,Offensive,Individual
1394642898235232256,Offensive,Others
1394583573072654341,Offensive,Individual
1394570805497929728,Offensive,Individual
1394559777796022274,Hate,"Bengali,Individual,Political"
1394456802524164097,Offensive,Individual
1394306419717980164,Offensive,Individual
1394279368784941061,NonHate,Others
1394262169907204098,Offensive,Individual
1394213497731379202,Offensive,Individual
1394209978068574208,Offensive,Individual
1394117882934558722,Offensive,"Political,Others"
1393951449948712966,NonHate,Others
1393837872164134915,Offensive,Others
1393791151157649408,NonHate,Individual
1393601759029776385,Offensive,Individual
1393566220025155585,Offensive,Individual
1393513286570635268,Hate,Bangladeshi
1393482003052257280,Offensive,Individual
1393405561065009152,NonHate,Others
1393377023402201089,Offensive,Individual
1393266250667618306,Offensive,Individual
1393033997865816066,Offensive,Others
1392876703379189763,Offensive,Individual
1392834947535179788,Offensive,Individual
1392435139804680192,Offensive,Others
1392420616293142529,Offensive,Political
1392136315068583937,Offensive,Individual
1392087192894251009,Offensive,Others
1391720994054705155,Offensive,Others
1391399992418471936,Offensive,Individual
1391327086707580933,Offensive,Individual
1391205439392534529,Offensive,Political
1391097139426521089,Offensive,Individual
1391082908484472832,Offensive,Others
1390995659956789248,Offensive,Individual
1390687917366923270,Offensive,Individual
1390325847492501505,Hate,"Women,Individual"
1390318419149422594,NonHate,Political
1390313822750068739,NonHate,Political
1390250811695845386,Offensive,Political
1390206433833013254,Offensive,Individual
1390193071019761664,Offensive,Individual
1390148122576183301,Offensive,Individual
1390144032068669443,Hate,"Women,Individual"
1389859477977845764,Offensive,Political
1389848033152565249,Offensive,Political
1389836296344850433,Offensive,Individual
1389655884993732615,Offensive,Individual
1389287836638056452,Offensive,Individual
1389279676925833217,Offensive,Individual
1389202590278193155,Offensive,Individual
1389194376090243075,Offensive,"Individual,Political"
1388992473704271877,Offensive,Individual
1388921006970925056,Offensive,Individual
1388920202755149829,Offensive,Individual
1388914886206365700,Offensive,Individual
1388872814258622471,Offensive,Individual
1388872799092035584,Offensive,Individual
1388866816240283648,Offensive,Political
1388841528643051520,Offensive,Individual
1388813470863294465,Offensive,Others
1388784203647524873,Offensive,Individual
1388777723640762368,Offensive,Political
1388769196243255300,Offensive,Individual
1388760587568484353,Offensive,Individual
1388752662187884551,Offensive,Individual
1387678769180147713,Offensive,Political
1387666965876015106,Offensive,Individual
1387449874774249473,Offensive,Individual
1387283054540967937,NonHate,Others
1387100722752147457,Offensive,Political
1387077867981348865,Offensive,Others
1386985288728137731,NonHate,Others
1386731225025368065,Offensive,Others
1386181097642360834,Offensive,Others
1386160938726805516,Offensive,Individual
1386029241704144899,NonHate,Political
1385977957303259141,Offensive,Individual
1385956679641047041,Offensive,Individual
1385849303915061248,Offensive,Individual
1385536823728828416,Offensive,Political
1385525491222728712,Offensive,Individual
1385229032799686658,Offensive,Individual
1384899423675768835,Offensive,Individual
1384868042883088384,Offensive,Individual
1384752708192641026,NonHate,Political
1384695707290898433,NonHate,Political
1384570194324979717,Hate,"Islam,Individual"
1384562612973629451,Offensive,Individual
1384517719534366725,NonHate,Political
1384417685451149313,Offensive,Political
1384060507460497416,Offensive,Individual
1383911784185176074,Offensive,Individual
1383833119376035840,Offensive,Individual
1383454051409416206,Offensive,Individual
1383437485871558656,Offensive,Individual
1383203511140192257,NonHate,Political
1383105462900461570,Offensive,Individual
1382980596159320068,Offensive,Individual
1382705703668883470,Offensive,Others
1382395723539439617,Offensive,Individual
1382393482778607622,Offensive,Individual
1382270074480848900,NonHate,Others
1382011271491428357,Offensive,Political
1381961631165390856,NonHate,Others
1381905256506814472,NonHate,Others
1381868711691177986,NonHate,Others
1381866559774224384,NonHate,Others
1381821501725274113,NonHate,Others
1381666281884020736,NonHate,Others
1381565647994281988,Offensive,Individual
1381559423496118276,NonHate,Political
1381495380928434176,Offensive,Others
1381309773774155777,NonHate,Others
1380921141372407809,Offensive,Individual
1380812310806102020,Offensive,Individual
1380757107163549696,Offensive,"Individual,Political"
1380337812617134080,Offensive,Political
1379746005361381382,Offensive,Individual
1379477555036577793,Hate,"Islam,Individual"
1379441760108081155,Offensive,Individual
1379433415733223424,Offensive,Individual
1379410393894846465,Offensive,Individual
1379076386619461633,Offensive,Individual
1378373414033891328,Offensive,Individual
1378336975825027080,Offensive,Political
1378187268490362881,Offensive,Political
1377982184141692932,Offensive,Individual
1371350960874815489,Offensive,Individual
1377538498345922561,NonHate,Others
1377226574496366597,Offensive,Political
1377105500035112962,Offensive,Individual
1376859322584469508,Hate,Bengali
1376825387783622665,Offensive,Individual
1376815078889070594,Offensive,Individual
1376752960999333892,Offensive,Individual
1376745121597677568,NonHate,Political
1376559495573237766,Offensive,Individual
1376481130610794496,Offensive,Individual
1376102905774661639,NonHate,Political
1376073860756299783,Offensive,Individual
1375795236539142146,Offensive,Individual
1375567833699024898,Offensive,Individual
1375266585124896770,Offensive,Political
1375166202901798915,Offensive,Individual
1375088920325582849,NonHate,Others
